ndc11,consumer_1,consumer_2,consumer_3,consumer_4,consumer_5,first_reference,second_reference,name,metadata
00002-3227-30,PillProjectDisc21/images/B5T5HI5XI8X2HSBJL-TGDHET4YG5C5F.JPG,PillProjectDisc25/images/B8S621VZTSXR4Z4VRHYLTKGCQWIXETR.JPG,PillProjectDisc20/images/B4CH0R9B7PEQ6GORRX-8XWOL-_G7W9_.JPG,PillProjectDisc11/images/7WVFV5H74!ELFNQ_GUH92E9ERM9P2K.JPG,PillProjectDisc10/images/79U-YY6M1UUR6F127ZMACIWPEEXHLB.JPG,PillProjectDisc37/images/BKMNRTQ6_7JVE3M5_DIU81YSSX!P!HB.JPG,PillProjectDisc52/images/BYDKBIA7YG6M92Z7WNOG9UC9H_4VFSH.JPG,STRATTERA 10MG,"{'Shape': 'CAPSULE', 'Color': 'WHITE', 'Imprint': 'Lilly;3227;10;mg', 'ImprintColor': 'BLACK', 'ImprintType': 'PRINTED', 'Score': '1'}"
00002-3228-30,PillProjectDisc92/images/K6QQET!08476TI3778Y4EJ3ILMZ!CR.JPG,PillProjectDisc74/images/CQ!JTXN2ALP8SNHTI0BX35XM4_S6Z!Q.JPG,PillProjectDisc64/images/CGERHPG3LRLR0X26M43L99OKNDYR-YL.JPG,PillProjectDisc15/images/B-FYXX8OS1YRV94N!KEU3DIY595NY55.JPG,PillProjectDisc59/images/CB_Y2300O9TEWY0L6B4SQBX!5VGSM74.JPG,PillProjectDisc43/images/BPJHG_K6IRN91BK5G444NFL92U9_AG5.JPG,PillProjectDisc91/images/J372MCFJ9M8ZC2_ZRFJUSVJWR20PYY.JPG,STRATTERA CAP 25 MG,"{'Shape': 'CAPSULE', 'Color': ['WHITE', 'BLUE'], 'Imprint': 'Lilly;3228;25;mg', 'ImprintColor': 'BLACK', 'ImprintType': 'PRINTED', 'Score': '1'}"
00002-3229-30,PillProjectDisc35/images/BINZI-PDPZ36VT4NFBE_5CNNF6N3676.JPG,PillProjectDisc20/images/B4RC!VKCGAZU6Y2H-BEO18Y8_YMSA5U.JPG,PillProjectDisc40/images/BN93L9206R!I20EPY8!VFX-KR55MBPS.JPG,PillProjectDisc26/images/B9U!DYW6J7HIG8D5-NPFO60_JDAHQIR.JPG,PillProjectDisc78/images/CTUESJ5W_WU0_Q706TP674YFVMC55PU.JPG,PillProjectDisc106/images/W9WJ5DVPKN8-DARNMB53SKVF8PU!2N.JPG,PillProjectDisc82/images/CXBHH8IVHSL4Q904G3U!BYRK9SU5S5R.JPG,STRATTERA CAP 40 MG,"{'Shape': 'CAPSULE', 'Color': 'BLUE', 'Imprint': 'Lilly;3229;40;mg', 'ImprintColor': 'BLACK', 'ImprintType': 'PRINTED', 'Score': '1'}"
00002-3235-60,PillProjectDisc106/images/WGK1UE6H7T-EARPNYO4LB09!T_VF9_.JPG,PillProjectDisc110/images/_ARQ_E987P-IFV9T!PGX2_6YHQ5IZX.JPG,PillProjectDisc69/images/CLL_QZPJSK-TIEKZMXWP0!DL1ZGGNS-.JPG,PillProjectDisc37/images/BK3PPVLDL7ENIE7PUY5BL6FL8MMC4OY.JPG,PillProjectDisc80/images/CW6GRIQ4Z9J-NFUQ9NRY7F!2RCNXZPR.JPG,PillProjectDisc12/images/8LL0A9QTPOWC-E77KNDMUSYD6EQH-S.JPG,PillProjectDisc48/images/BUE7-UX95YLAIHJ4!CAFBCWMIJR5JGD.JPG,CYMBALTA 20MG CAP,"{'Shape': 'CAPSULE', 'Color': 'GREEN', 'Imprint': 'Lilly;3235;20;mg', 'ImprintColor': 'BLACK', 'ImprintType': 'PRINTED', 'Score': '1'}"
00002-3238-30,PillProjectDisc2/images/-CYJI2!27!DZ9MOE83-5K-54DDSKRY.JPG,PillProjectDisc78/images/CT_XXTRWHXVUD8OJA73FZOU2!707LBV.JPG,PillProjectDisc68/images/CKQDB5V0_4FXLEIJOR_MO7ZNN5M!1K5.JPG,PillProjectDisc47/images/BT9-0-K6JRJ9E6-SDC2JB-SNICCZZ8G.JPG,PillProjectDisc76/images/CRX129ZI8QJTHRVKWNC0ZJ72335OPXD.JPG,PillProjectDisc27/images/BAW7MVDATQZJSPKO-DZI0H3-17GX85O.JPG,PillProjectDisc28/images/BBLN8M_AV-O_GYX7YULLWGW1-AHS2H6.JPG,STRATTERA CAP 18 MG,"{'Shape': 'CAPSULE', 'Color': ['WHITE', 'YELLOW'], 'Imprint': 'Lilly;3238;18;mg', 'ImprintColor': 'BLACK', 'ImprintType': 'PRINTED', 'Score': '1'}"
00002-3239-30,PillProjectDisc40/images/BNH0_FQ-T4G9AL_H45VENPU7LK-!GH_.JPG,PillProjectDisc79/images/CUH_!VED5-VX92YBA_YCSFS43R20TAE.JPG,PillProjectDisc48/images/BV-VZAAOVGF0MQAZ5A-WR2LEL7TP3GW.JPG,PillProjectDisc53/images/BZL1KBLQGQ632A9I!VSEDPVMMWIF4TX.JPG,PillProjectDisc19/images/B2YP7PV2V8UNZJ0F_JHV6LSQAPI3TVE.JPG,PillProjectDisc16/images/B0S!Y9V2RF6O-4DKUSZ4U11GDZTAFK7.JPG,PillProjectDisc65/images/CHF2MA2_-Q1V1RZ3TX48HX-QCBHL8XP.JPG,STRATTERA CAP 60 MG,"{'Shape': 'CAPSULE', 'Color': ['BLUE', 'YELLOW'], 'Imprint': 'Lilly;3239;60;mg', 'ImprintColor': 'BLACK', 'ImprintType': 'PRINTED', 'Score': '1'}"
00002-3240-30,PillProjectDisc17/images/B1ZEV_ZLK!76VL9N6!Y3D2G70NOECMX.JPG,PillProjectDisc45/images/BS36OUGJO1CYOKRIQ6TQM1SSH64HZMG.JPG,PillProjectDisc69/images/CLQ-UUL-JHZ9QUNSBMD01534FSKUN9M.JPG,PillProjectDisc87/images/F5PBMSMYVD8CYNMI0!1QDXZRL3BO8Z.JPG,PillProjectDisc59/images/CCBJ3F!0JSRADG3W6MXN6T8UP8FTWMI.JPG,PillProjectDisc44/images/BR68IW9SWHRFU8DZXBCF77ZK9UHGE3I.JPG,PillProjectDisc57/images/CAFFVCRQ76IT1M!KTXTWS-BJFVJZ3Q.JPG,CYMBALTA 30MG CAP,"{'Shape': 'CAPSULE', 'Color': ['BLUE', 'WHITE'], 'Imprint': 'Lilly;3240;30;mg', 'ImprintColor': 'BROWN', 'ImprintType': 'PRINTED', 'Score': '1'}"
00002-3250-30,PillProjectDisc13/images/9_KKSUTJTJXL5UO4_-Z6F3H51RIRO4.JPG,PillProjectDisc91/images/IZVDV5Z-AHVCWCVWXY!4J6TRFNR6U_.JPG,PillProjectDisc31/images/BE78F976-Q3A4O1LHT3_7KE0!0LOW!X.JPG,PillProjectDisc88/images/FZ4FYUQ-901QPUE_IQSZXGPJ3KDC6E.JPG,PillProjectDisc91/images/JBGLJQ58Y5GM_9SUG9725MJB0F1H7Z.JPG,PillProjectDisc26/images/BA4!2HLRJX4CXD2!IEC9EG12Y6WY1HE.JPG,PillProjectDisc38/images/BLJO0_!9675_3OC0Q5RLFG61YE-E!F.JPG,STRATTERA CAP 80 MG,"{'Shape': 'CAPSULE', 'Color': ['WHITE', 'BROWN'], 'Imprint': 'Lilly;3250;80;mg', 'ImprintColor': 'BLACK', 'ImprintType': 'PRINTED', 'Score': '1'}"
00002-3251-30,PillProjectDisc102/images/SRWU_F3Z088KVB4QZ4XMC_SMD5HJP0.JPG,PillProjectDisc41/images/BN_1CALRNOA!MCQ0I-VHT934ZQR_V-O.JPG,PillProjectDisc81/images/CWBXV5VHB8GGMOFWG6FGZGOM_IN_A59.JPG,PillProjectDisc107/images/X95NXDVKMX26ZBRVWHMDCVFWWJCSQR.JPG,PillProjectDisc84/images/CZU3B2B3_Z1RMT0RO769_KOG1SDU!!1.JPG,PillProjectDisc102/images/TEFMMBHUNS-95!CV7S8DY34PO5RY!B.JPG,PillProjectDisc72/images/CO11NC6GH9WNK2_IEY4BJ4TZL3GAZ4Y.JPG,STRATTERA CAP 100 MG,"{'Shape': 'CAPSULE', 'Color': 'BROWN', 'Imprint': 'Lilly;3251;100;mg', 'ImprintColor': 'BLACK', 'ImprintType': 'PRINTED', 'Score': '1'}"
00002-3270-30,PillProjectDisc35/images/BIK877!1CJIKP_ARA49NMXKWSF73FTL.JPG,PillProjectDisc17/images/B1U2G7K6EXGAFBG_YNTF8HXNWSYP9NN.JPG,PillProjectDisc74/images/CQ5SSHBOZ5ZSYMQFDYFDV08YFZLA4!F.JPG,PillProjectDisc89/images/GXA0EX_76J5TZ5ZJ5HGE6VXE1EQF-7.JPG,PillProjectDisc46/images/BSNPY5TG-G9YSGT72VLE-CFS82I29XU.JPG,PillProjectDisc58/images/CBMP0-36ND13BX_VZB5HWB72BHZ7-R7.JPG,PillProjectDisc85/images/D8WR774KY_V9_BB76XMDC19!RVFY6D.JPG,CYMBALTA 60MG CAP,"{'Shape': 'CAPSULE', 'Color': ['BLUE', 'YELLOW'], 'Imprint': 'Lilly;3270;60;mg', 'ImprintColor': 'WHITE', 'ImprintType': 'PRINTED', 'Score': '1'}"
